name,type,slotN,slot0,slot1,slot2,slot3,firepow,namech
AkagiKai,CV,4,20,20,32,10,49,﻿赤城改
KagaKai,CV,4,20,20,46,12,49,加贺改
SoryuKaini,CV,4,18,35,20,6,57,苍龙改二
HiryuKaini,CV,4,18,36,22,3,64,飞龙改二
ShoukakuKai,CV,4,24,24,24,12,39,翔鹤改
ZuikakuKai,CV,4,24,24,24,12,39,瑞鹤改
TaihoKai,CV,4,30,24,24,8,59,大凤改
UnryuKai,CV,4,18,21,27,3,48,云龙改
AmagiKai,CV,4,18,21,27,3,45,天城改
KatsuragiKai,CV,4,18,21,27,3,45,葛城改
HiyoKai,CVL,4,18,18,18,12,29,飞鹰改
JyunyoKaini,CVL,4,24,18,20,4,40,隼鹰改二
ChitoseKaini,CVL,4,24,16,11,8,34,千岁改二
ChiyodaKaini,CVL,4,24,16,11,8,34,千代田改二
RyujoKaini,CVL,4,18,28,6,3,40,龙骧改二
HoshoKai,CVL,3,14,16,12,0,29,凤翔改
RyuhoKai,CVL,4,21,9,9,6,32,龙凤改
ShohoKai,CVL,4,18,12,12,6,29,祥凤改
ZuihoKai,CVL,4,18,12,12,6,29,瑞凤改
Akagi,CV,4,18,18,27,10,39,赤城
Kaga,CV,4,18,18,45,12,39,加贺
SoryuKai,CV,4,18,27,18,10,39,苍龙改
Soryu,CV,4,12,27,18,7,29,苍龙
HiryuKai,CV,4,18,27,18,10,39,飞龙改
Hiryu,CV,4,12,27,18,7,29,飞龙
Shoukaku,CV,4,21,21,21,12,39,翔鹤
Zuikaku,CV,4,21,21,21,12,39,瑞鹤
Taiho,CV,4,18,18,18,7,49,大凤
Unryu,CV,4,18,24,3,6,27,云龙
Amagi,CV,4,18,24,3,6,25,天城
Katsuragi,CV,4,18,24,3,6,25,葛城
Hiyo,CVL,4,12,18,18,10,19,飞鹰
JyunyoKai,CVL,4,18,18,18,12,29,隼鹰改
Jyunyo,CVL,4,12,18,18,10,19,隼鹰
ChitoseKai,CVL,4,24,16,8,8,34,千岁改
Chitose,CVL,3,21,9,6,0,19,千岁
ChiyodaKai,CVL,4,24,16,8,8,34,千代田改
Chiyoda,CVL,3,21,9,6,0,19,千代田
RyujoKai,CVL,4,9,24,5,5,29,龙骧改
Ryujo,CVL,3,9,24,5,0,19,龙骧
Hosho,CVL,2,8,11,0,0,19,凤翔
Ryuho,CVL,3,18,7,6,0,20,龙凤
Shoho,CVL,3,18,9,3,0,19,祥凤
Zuiho,CVL,3,18,9,3,0,19,瑞凤
AkitsuMaruKai,CVL,3,8,8,8,0,33,あきつ丸改
